ID_EMPRESA;COD_FUNCAO;DESCRICAO;COD_GRP_FUNCAO
1;001H;BORRACHEIRO I;00001
1;001I;BORRACHEIRO II;00001
1;001J;BORRACHEIRO III;00001
1;001K;BORRACHEIRO IV;00001
1;001L;BORRACHEIRO V;00001
1;001M;BORRACHEIRO VI;00001
1;001O;CALANDRISTA II;00001
1;001P;CALDEIREIRO I;00003
1;001Q;CALDEIREIRO II;00003
1;001R;CALDEIREIRO III;00003
1;001S;CALDEIREIRO IV;00003
1;001T;CALDEIREIRO V;00003
1;001U;CALDEIREIRO VI;00003
1;001V;CALDEIREIRO QUALIFICADO I;00003
1;001W;CALDEIREIRO QUALIFICADO II;00003
1;0020;CARPINTEIRO I;00001
1;0021;CARPINTEIRO II;00001
1;0022;CARPINTEIRO III;00001
1;0023;CARPINTEIRO IV;00001
1;0024;CARPINTEIRO V;00001
1;0025;CARPINTEIRO VI;00001
1;0026;CHEFE INTERM.CONTABI;00002
1;0027;COMPRADOR I;00002
1;0028;COMPRADOR II;00002
1;0029;COMPRADOR III;00002
1;002A;COMPRADOR IV;00002
1;002B;COMPRADOR V;00002
1;002C;COMPRADOR VI;00002
1;002D;CONSULTOR QUALIDADE;00002
1;002E;CONTROLADOR ARRECADA;00002
1;002F;COORD.SISTEMA INFORMACAO;00002
1;002G;COORD. ADMINISTRATIVO;00002
1;002H;COORD. DE CONTRATOS;00002
1;002I;COORD. DE ORCAMENTOS;00002
1;002J;COORD. DE LOGISTICA;00002
1;002K;COORDENADOR I;00009
1;002L;COORDENADOR II;00009
1;002M;DESENHISTA PROJETISTA I;00002
1;002O;DESENHISTA PROJETISTA II;00002
1;002P;DESENHISTA PROJETISTA III;00002
1;002Q;DESENHISTA PROJETISTA IV;00002
1;002R;DESENHISTA PROJ.V;00002
1;002S;DESENHISTA PROJ.VI;00002
1;002T;DIRETOR ADJUNTO;00002
1;002U;ELETRICISTA ESPEC. III;00013
1;002V;ELETRICISTA ESPEC. IV;00013
1;002W;ELETRICISTA ESPEC. V;00013
1;0030;ELETRICISTA ESPEC. VI;00013
1;0031;ELETRICISTA I;00013
1;0032;ELETRICISTA II;00013
1;0033;ELETRICISTA III;00013
1;0034;ELETRICISTA IV;00013
1;0035;ELETRICISTA V;00013
1;0036;ELETRICISTA VI;00013
1;0037;ENCANADOR;00003
1;0038;ENCANADOR I;00003
1;0039;ENCANADOR II;00003
1;003A;ENCANADOR III;00003
1;003B;ENCANADOR IV;00003
1;003C;ENCANADOR V;00003
1;003D;ENCANADOR VI;00003
1;003E;ENCANADOR DE CALDEIRA;00003
1;003F;ENCANADOR DE CALDEIRA II;00003
1;003G;ENCANADOR INDUSTRIAL I;00003
1;003H;ENCANADOR INDUSTRIAL;00003
1;003I;ENCANADOR QUALIFICADO;00003
1;003J;ENCARREGADO;00009
1;003K;ENC. ADMINISTRATIVO;00002
1;003L;ENC.CALDEIRA I;00009
1;003M;ENC.CALDEIRA II;00009
1;003O;ENC.CALDEIRA III;00009
1;003P;ENC.CALDEIRA IV;00009
1;003Q;ENC.CALDEIRA V;00009
1;003R;ENC.CALDEIRA VI;00009
1;003S;ENC.CALDEIRA VII;00009
1;003T;ENC. MANUTENCAO CIVI;00009
1;003U;ENC. MANUTENCAO CIVIL II;00009
1;003V;ENC. MANUTENCAO CIVIL III;00009
1;003W;ENC. MANUTENCAO CIVI;00009
1;0040;ENC. MANUTENCAO CIVI;00009
1;0041;ENC. MANUTENCAO CIVI;00009
1;0042;ENC. MANUTENCAO CIVI;00009
1;0043;ENC.ELETRICA I;00009
1;0044;ENC.ELETRICA II;00009
1;0045;ENC.ELETRICA III;00009
1;0046;ENC.ELETRICA IV;00009
1;0047;ENC.ELETRICA V;00009
1;0048;ENC.ELETRICA VI;00009
1;0049;ENC. ELETRICA INSTRUMENT. I;00009
1;004A;ENC. ELETRICA INSTRU;00009
1;004B;ENC. ELETRICA INSTRUMENT. III;00009
1;004C;ENC. FERRAMENTARIA I;00009
1;004D;ENC. FERRAMENTARIA II;00009
1;004E;ENC. FERRAMENTARIA I;00009
1;004F;ENC. FERRAMENTARIA I;00009
1;004G;ENC. FERRAMENTARIA V;00009
1;004H;ENC. FERRAMENTARIA V;00009
1;004I;ENC. MANUTENCAO;00009
1;004J;ENC. MECANICA II;00009
1;004K;ENC. DE PESSOAL;00002
1;004L;ENC. DE PESSOAL I;00002
1;004M;ENC. DE PESSOAL II;00002
1;004O;ENC. DE TUBULACAO II;00009
1;004P;ENCARREGADO I;00009
1;004Q;ENCARREGADO II;00009
1;004R;ENCARREGADO III A;00009
1;004S;ENCARREGADO IV;00009
1;004T;ENCARREGADO V;00009
1;004U;ENCARREGADO VI;00009
1;004V;ENCARREGADO VII;00009
1;004W;ENC. INTERNOS CALDEIRA;00009
1;0050;ENC. INTERNOS CALDEIRA I;00009
1;0051;ENC. INTERNOS CALDEIRA II;00009
1;0052;ENC. SOLDA;00009
1;0053;ENC. SOLDA I;00009
1;0054;ENC. SOLDA II;00009
1;0055;ENC. SOLDA III;00009
1;0056;ENC. SOLDA IV;00009
1;0057;ENC. SOLDA V;00009
1;0058;ENC. SOLDA VI;00009
1;0059;ENC. SOLDA VII;00009
1;005A;ENGENHEIRO;00002
1;005B;ENGENHEIRO ASSISTENT;00002
1;005C;ENGENHEIRO ASSISTENT;00002
1;005D;ENGENHEIRO ASSISTENT;00002
1;005E;ENGENHEIRO ASSISTENT;00002
1;005F;ENGENHEIRO ASSISTENT;00002
1;005G;ENGENHEIRO ASSISTENT;00002
1;005H;ENGENHEIRO ASSISTENT;00002
1;005I;ENGENHEIRO SEGURANCA;00017
1;005J;ENGENHEIRO SEGURANCA;00002
1;005K;ENGENHEIRO SEGURANCA;00002
1;005L;ENGENHEIRO SENIOR;00002
1;005M;ENGENHEIRO SENIOR I;00002
1;005O;ENGENHEIRO SENIOR II;00002
1;005P;ENGENHEIRO SENIOR III;00002
1;005Q;ENGENHEIRO SENIOR V;00002
1;005R;ENGENHEIRO TRAINEE I;00002
1;005S;ESTAGIARIO(A) I;00002
1;005T;ESTAGIARIO(A) II;00002
1;005U;ESTAGIARIO(A) III;00002
1;005V;ESTAGIARIO(A) III.A;00002
1;005W;ESTAGIARIO(A) IV;00002
1;0060;ESTAGIARIO(A) V;00002
1;0061;ESTAGIARIO(A) VI;00002
1;0062;ESTAGIARIO(A) VII;00002
1;0064;FERRAMENT.I;00001
1;0065;FERRAMENTEIRO II;00001
1;0066;FERRAMENT.III;00001
1;0067;FERRAMENT.IV;00001
1;0068;FERRAMENT.V;00001
1;0069;FERRAMENT.VI;00001
1;006A;FUNILEIRO I;00001
1;006B;FUNILEIRO II;00001
1;006C;FUNILEIRO III;00001
1;006D;FUNILEIRO IV;00001
1;006E;FUNILEIRO V;00001
1;006F;FUNILEIRO VI;00001
1;006G;GERENTE DE CONTRATOS;00002
1;006H;GERENTE DE CONTRATOS I;00002
1;006I;GERENTE DE CONTRATOS II;00002
1;006J;GERENTE DE FABRICA;00002
1;006K;GERENTE QUALIDADE;00002
1;006L;GERENTE TECNICO COMERCIAL;00002
1;006M;INSPETOR LIQ. PENETR;00014
1;006O;INSPETOR DE SOLDA;00014
1;006P;INSPETOR DE SOLDA I;00014
1;006Q;INSPETOR DE SOLDA II;00014
1;006R;INSPETOR DE SOLDA IV;00014
1;006S;INSPETOR DE SOLDA V;00014
1;006T;INSPETOR QUALIDADE;00014
1;006U;INSTRUMENTISTA ESPEC. III;00001
1;006V;INSTRUMENTISTA ESPEC;00001
1;006W;INSTRUMENTISTA I;00001
1;0070;INSTRUMENTISTA II;00001
1;0071;INSTRUMENTISTA III;00001
1;0072;INSTRUMENTISTA IV;00001
1;0073;INSTRUMENTISTA V;00001
1;0074;INSTRUMENTISTA VI;00001
1;0075;ISOLADOR I;00001
1;0076;ISOLADOR II;00001
1;0077;JATISTA ESP.I;00007
1;0078;JATISTA ESPECIALIZADO II;00007
1;0079;JATISTA ESPECIALIZADO III;00007
1;007A;JATISTA ESPECIALIZADO IV;00007
1;007B;JATISTA ESPECIALIZADO V;00007
1;007C;JATISTA ESPECIALIZADO VI;00007
1;007D;LAMINADOR I;00001
1;007E;LAMINADOR II;00001
1;007F;LAMINADOR III;00001
1;007G;LAMINADOR IV;00001
1;007H;LAMINADOR V;00001
1;007I;LAMINADOR VI;00001
1;007J;LAVADOR I;00001
1;007K;LAVADOR II;00001
1;007L;LAVADOR III;00001
1;007M;LAVADOR IV;00001
1;007O;LAVADOR V;00001
1;007P;LAVADOR VI;00001
1;007Q;LIDER;00009
1;007R;LIDER I;00009
1;007S;LIDER II;00009
1;007T;LIDER III;00009
1;007U;LIDER IV;00009
1;007V;LIDER V;00009
1;007W;LIDER VI;00009
1;0080;LUBRIFICADOR I;00001
1;0081;LUBRIFICADOR II;00001
1;0082;LUBRIFICADOR III;00001
1;0083;LUBRIFICADOR IV;00001
1;0084;LUBRIFICADOR V;00001
1;0085;LUBRIFICADOR VI;00001
1;0086;MACARIQUEIRO I;00001
1;0087;MACARIQUEIRO II;00001
1;0088;MACARIQUEIRO III;00001
1;0089;MACARIQUEIRO IV;00001
1;008A;MACARIQUEIRO V;00001
1;008B;MACARIQUEIRO VI;00001
1;008C;MARTELETEIRO I;00001
1;008D;MARTELETEIRO II;00001
1;008E;MARTELETEIRO III;00001
1;008F;MARTELETEIRO IV;00001
1;008G;MARTELETEIRO V;00001
1;008H;MARTELETEIRO VI;00001
1;008I;MECANICO AJUST I;00003
1;008J;MECANICO AJUST II;00003
1;008K;MECANICO AJUST III;00003
1;008L;MECANICO AJUST IV;00003
1;008M;MECANICO AJUSTADOR V;00003
1;008O;MECANICO AJUSTADOR VI;00003
1;008P;MECANICO;00003
1;008Q;MECANICO I;00003
1;008R;MECANICO II;00003
1;008S;MECANICO III;00003
1;008T;MECANICO IV;00003
1;008U;MECANICO V;00003
1;008V;MECANICO VI;00003
1;008W;MECAN MONTADOR;00003
1;0090;MECAN MONTADOR I;00003
1;0091;MECAN MONTADOR II;00003
1;0092;MECANICO MONTADOR III;00003
1;0093;MECANICO MONTADOR IV;00003
1;0094;MECANICO MONTADOR V;00003
1;0095;MECANICO MONTADOR VI;00003
1;0096;MECANICO QUALIFICADO;00003
1;0097;MEIO OFICIAL I;00003
1;0098;MEIO OFICIAL II;00003
1;0099;MEIO OFICIAL III;00003
1;009A;MEIO OFICIAL IV;00003
1;009B;MEIO OFICIAL V;00003
1;009C;MEIO OFICIAL VI;00003
1;009D;MEIO OFICIAL VII;00003
1;009E;MONT.ANDAIME I;00008
1;009F;MONT.ANDAIME II;00008
1;009G;MONT.ANDAIME III;00008
1;009H;MONTADOR DE ANDAIME IV;00008
1;009I;MONTADOR DE ANDAIME V;00008
1;009J;MONTADOR DE ANDAIME VI;00008
1;009K;MOTORISTA GUINDASTEIRO;00010
1;009L;MOTORISTA GUINDASTEIRO I;00010
1;009M;MOTORISTA GUINDASTEIRO II;00010
1;009O;MOTORISTA GUINDASTEIRO III;00010
1;009P;MOTORISTA CAMINHONEI;00010
1;009Q;MOTORISTA CAMINHONEI;00010
1;009R;MOTORISTA CARRETEIRO I;00010
1;009S;MOTORISTA CARRETEIRO II;00010
1;009T;MOTORISTA CARRETEIRO III;00010
1;009U;MOTORISTA CARRETEIRO;00010
1;009V;MOTORISTA CARRETEIRO;00010
1;009W;MOTORISTA CARRETEIRO;00010
1;00A0;MOTORISTA;00010
1;00A1;MOTORISTA I;00010
1;00A2;MOTORISTA II;00010
1;00A3;MOTORISTA III;00010
1;00A4;MOTORISTA IV;00010
1;00A5;MOTORISTA V;00010
1;00A6;MOTORISTA VI;00010
1;00A7;MOTORISTA VII;00010
1;00A8;OPER. EMPILHADEIRA II;00001
1;00A9;OPER. EMPILHADEIRA I;00001
1;00AA;OPER. EMPILHADEIRA I;00001
1;00AB;OPER. EMPILHADEIRA V;00001
1;00AC;OPER. EMPILHADEIRA V;00001
1;00AD;OPER. GUINDASTE I;00010
1;00AE;OPER. GUINDASTE II;00010
1;00AF;OPER. GUINDASTE III;00010
1;00AG;OPER. GUINDASTE IV;00010
1;00AH;OPER. GUINDASTE V;00010
1;00AI;OPER. GUINDASTE VI;00010
1;00AJ;OPER.MAQ.OPERATR.I;00003
1;00AK;OPER.MAQ.OPERATR.II;00003
1;00AL;OPER.MAQ.OPERATR.III;00003
1;00AM;OPER.MAQ.OPERATR.IV;00003
1;00AO;OPER.MAQ.OPERATR.V;00003
1;00AP;OPER.MAQ.OPERATR.VI;00003
1;00AQ;OPER.PONTE ROLANTE;00003
1;00AR;OPER. RIGGER I;00001
1;00AS;PEDREIRO ANTI-ACIDO ;00001
1;00AT;PEDREIRO ANTI-ACIDO ;00001
1;00AU;PEDREIRO ANTI-ACIDO ;00001
1;00AV;PEDREIRO ANTI-ACIDO ;00001
1;00AW;PEDREIRO ANTI-ACIDO ;00001
1;00B0;PEDREIRO ANTI-ACIDO ;00001
1;00B1;PEDREIRO I;00001
1;00B2;PEDREIRO II;00001
1;00B3;PEDREIRO III;00001
1;00B4;PEDREIRO IV;00001
1;00B5;PEDREIRO V;00001
1;00B6;PEDREIRO VI;00001
1;00B7;PEDREIRO VII;00001
1;00B8;PEDREIRO VIII;00001
1;00B9;PINTOR I;00007
1;00BA;PINTOR II;00007
1;00BB;PINTOR III;00007
1;00BC;PINTOR IV;00007
1;00BD;PINTOR V;00007
1;00BE;PINTOR VI;00007
1;00BF;PINTOR/JATISTA I;00007
1;00BG;PINTOR/JATISTA II;00007
1;00BH;PINTOR/JATISTA III;00007
1;00BI;PINTOR/JATISTA IV;00007
1;00BJ;PINTOR/JATISTA V;00007
1;00BK;PROGRAMADOR I;00002
1;00BL;PROGRAMADOR II;00002
1;00BM;PROGRAMADOR III;00002
1;00BO;PROGRAMADOR IV;00002
1;00BP;PROGRAMADOR V;00002
1;00BQ;PROGRAMADOR VI;00002
1;00BR;PROGRAMADOR VII;00002
1;00BS;PROGRAMADOR SENIOR;00002
1;00BT;PROJETISTA I;00002
1;00BU;PROJETISTA II;00002
1;00BV;PROJETISTA III;00002
1;00BW;SERVENTE;00012
1;00C0;SERVENTE I;00012
1;00C1;SERVENTE II;00012
1;00C2;SERVENTE III;00012
1;00C3;SERVENTE IV;00012
1;00C4;SERVENTE V;00012
1;00C5;SOLDADOR DE CALDEIRA;00005
1;00C6;SOLDADOR DE CALDEIRA;00005
1;00C7;SOLDADOR DE CALDEIRA;00005
1;00C8;SOLDADOR I;00004
1;00C9;SOLDADOR II;00004
1;00CA;SOLDADOR III;00004
1;00CB;SOLDADOR IV;00004
1;00CC;SOLDADOR V;00004
1;00CD;SOLDADOR VI;00004
1;00CE;SOLDADOR VII;00004
1;00CF;SOLDADOR MIG I;00004
1;00CG;SOLDADOR MIG II;00004
1;00CH;SOLDADOR MIG III;00004
1;00CI;SOLDADOR MIG IV;00004
1;00CJ;SOLDADOR MIG V;00004
1;00CK;SOLDADOR MIG VI;00004
1;00CL;SOLDADOR TIG;00005
1;00CM;SOLDADOR TIG I;00005
1;00CO;SOLDADOR TIG II;00005
1;00CP;SOLDADOR TIG III;00005
1;00CQ;SOLDADOR TIG IV;00005
1;00CR;SOLDADOR TIG V;00005
1;00CS;SOLDADOR TIG VI;00005
1;00CT;SOLDADOR TIG ESPECIALIZADO I;00005
1;00CU;SUPERV. ADMINISTRATIVO;00002
1;00CV;SUPERV. MANUTENCAO I;00002
1;00CW;SUPERV. MANUTENCAO II;00002
1;00D0;SUPERV. MANUTENCAO III;00002
1;00D1;SUPERV. MANUTENCAO IV;00002
1;00D2;SUPERV. MANUTENCAO V;00002
1;00D3;SUPERV. MANUTENCAO VI;00002
1;00D4;SUPERV. MANUTENCAO VII;00002
1;00D5;SUPERV. MATERIAIS II;00002
1;00D6;SUPERV. MATERIAIS III;00002
1;00D7;SUPERV. SOLDA I;00002
1;00D8;SUPERV. SOLDA II;00002
1;00D9;SUPERV. SOLDA III;00002
1;00DA;SUPERV. SOLDA IV;00002
1;00DB;SUPERV. SOLDA V;00002
1;00DC;SUPERV. SOLDA VI;00002
1;00DD;SUPERV. SOLDA VII;00002
1;00DE;SUPERV. ELETRICA I;00009
1;00DF;SUPERV. ELETRICA II;00009
1;00DG;SUPERV. ELETRICA III;00002
1;00DH;SUPERV. ELETRICA IV;00002
1;00DI;SUPERV. ELETRICA V;00002
1;00DJ;SUPERV. ELETRICA VI;00002
1;00DK;SUPERV. ELETRICA VII;00002
1;00DL;SUPERV. MANUTENCAO;00002
1;00DM;SUPERV. MANUT CALDEIRA;00002
1;00DO;SUPERVISOR MONTAGEM;00002
1;00DP;TECNICO;00002
1;00DQ;TECNICO I;00002
1;00DR;TECNICO II;00002
1;00DS;TECNICO III;00002
1;00DT;TECNICO IV;00002
1;00DU;TECNICO V;00002
1;00DV;TECNICO VI;00002
1;00DW;TECNICO TRAINEE;00002
1;00E0;TECNICO INSTRUMENTA IV;00002
1;00E1;TECNICO PLANEJAMENTO I;00002
1;00E2;TECNICO PLANEJAMENTO II;00002
1;00E3;TECNICO PLANEJAMENTO III;00002
1;00E4;TECNICO PLANEJAMENTO IV;00002
1;00E5;TECNICO PLANEJAMENTO V;00002
1;00E6;TECNICO PLANEJAMENTO VI;00002
1;00E7;TECNICO PLANEJAMENTO VII;00002
1;00E8;AUXILIAR TEC. SEG. T;00017
1;00E9;TECNICO SEG. DO TRABALHO;00017
1;00EA;TECNICO SEG. DO TRABALHO I;00017
1;00EB;TECNICO SEG. DO TRABALHO II;00017
1;00EC;TECNICO SEG. DO TRABALHO III;00017
1;00ED;TECNICO SEG. DO TRABALHO IV;00017
1;00EE;TECNICO SEG. DO TRABALHO V;00017
1;00EF;TECNICO SEG. DO TRABALHO VI;00017
1;00EG;TOPOGRAFO I;00002
1;00EH;TOPOGRAFO II;00002
1;00EI;TOPOGRAFO III;00002
1;00EJ;TOPOGRAFO IV;00002
1;00EK;TOPOGRAFO V;00002
1;00EL;TOPOGRAFO VI;00002
1;00EM;TORNEIRO I;00001
1;00EO;TORNEIRO II;00001
1;00EP;TORNEIRO III;00001
1;00EQ;TORNEIRO IV;00001
1;00ER;TORNEIRO V;00001
1;00ES;TORNEIRO VI;00001
1;00ET;INDEFINIDA;00002
1;00EU;MECANICO VIII;00003
1;00EV;AUXILIAR ALMOXARIFAD;00001
1;00EW;ANALISTA ADMINISTRATIVO I;00002
1;00F0;ANALISTA ADMINISTRATIVO II;00002
1;00F1;PROGRAMADOR SENIOR I;00002
1;00F2;COORD. FINANCEIRO III;00002
1;00F3;COORD. DE SUPRIMENTOS;00002
1;00F4;ALMOXARIFE VII;00001
1;00F5;ENCANADOR VII;00003
1;00F6;CALDEIREIRO VII;00003
1;00F7;INSTRUMENTISTA VII;00001
1;00F8;AUXILIAR TEC. SEG. TRABALHO I;00017
1;00F9;ENC. DE CONTABILIDADE;00002
1;00FA;MOTORISTA CARRETEIRO;00010
1;00FB;ENCANADOR INDUSTRIAL;00003
1;00FC;DESENHISTA PROJETISTA;00002
1;00FD;CONSULTOR;00002
1;00FE;PROGRAMADOR JR;00002
1;00FF;SUPERV. MONTAGEM III;00002
1;00FG;SOLDADOR TIG VII;00005
1;00FH;ANALISTA ADMINISTRATIVO III;00002
1;00FI;ASSESSOR;00002
1;00FJ;SOLDADOR DE CALDEIRA;00005
1;00FK;SOLDADOR DE CALDEIRA V;00005
1;00FL;ADOLESCENTE APRENDIZ;00001
1;00FM;COORD. DE CONTRATOS I;00002
1;00FO;TECNICO PLANEJAMENTO;00002
1;00FP;TECNICO MONTAGEM VI;00001
1;00FQ;ENC. DE TUBULACAO;00009
1;00FR;ENC. ADMINISTRATIVO II;00002
1;00FS;AUXILIAR ALMOXARIFAD;00001
1;00FT;ANALISTA DE CONTRATOS;00002
1;00FU;MECANICO AJUSTADOR VII;00003
1;00FV;PINTOR/JATISTA VI;00007
1;00FW;MECANICO VII;00003
1;00G0;OPER. A3;00010
1;00G1;ORCAMENTISTA III;00002
1;00G2;MECANICO QUALIFICADO II;00003
1;00G3;SECRETARIA;00002
1;00G4;SUPERV. MONTAGEM V;00002
1;00G5;ENGENHEIRO TRAINEE I;00002
1;00G6;SUPERV. MATERIAIS V;00002
1;00G7;ENGENHEIRO QUALIDADE;00014
1;00G8;OPER. GRUA;00001
1;00G9;COORDENADOR III;00009
1;00GA;ENC. RIGGER;00009
1;00GB;ENGENHEIRO QUALIDADE II;00014
1;00GC;ENGENHEIRO SEGURANCA;00002
1;00GD;VIGIA;00001
1;00GE;INSPETOR SUPERVISOR;00014
1;00GF;AUXILIAR TECNICO;00002
1;00GG;OPER. GRUA I;00001
1;00GH;RIGGER;00003
1;00GI;SUPERV. QUALIDADE;00014
1;00GJ;PROJETISTA Ia;00002
1;00GK;PROJETISTA Ib;00002
1;00GL;PROJETISTA Ic;00002
1;00GM;OPER. ELEVADOR;00001
1;00GO;SUPERV. MONTAGEM IV;00002
1;00GP;MOTORISTA CARRETEIRO;00010
1;00GQ;INSPETOR LIQ. PENETR;00014
1;00GR;INSPETOR LIQ. PENETR;00014
1;00GS;SUPERV. MONTAGEM VI;00002
1;00GT;TECNICO MATERIAIS I;00015
1;00GU;VIGIA IV;00001
1;00GV;INSPETOR DE SOLDA VI;00014
1;00GW;CONSULTOR III;00002
1;00H0;SUPERVISOR;00002
1;00H1;AUXILIAR ALMOXARIFADO II;00001
1;00H2;COORDENADOR IV;00009
1;00H3;COORD. QUALIDADE II;00014
1;00H4;ANALISTA DE SUPORTE;00002
1;00H5;ANALISTA DE RH III;00002
1;00H6;OPER. GRUA II;00001
1;00H7;RIGGER II;00003
1;00H8;ORCAMENTISTA V;00002
1;00H9;PROJETISTA Id;00002
1;00HA;SUPERV. QUALIDADE II;00014
1;00HB;ORCAMENTISTA I;00002
1;00HC;LIDER VII;00009
1;00HD;ORCAMENTISTA;00002
1;00HE;ENC. ADMINISTRATIVO I;00002
1;00HF;GERENTE;00002
1;00HG;ASSESSOR I;00002
1;00HH;ASSESSOR II;00002
1;00HI;ASSESSOR III;00002
1;00HJ;ASSESSOR IV;00002
1;00HK;ASSESSOR V;00002
1;00HL;SUPERV. MANUT CALDEIRA I;00002
1;00HM;SUPERV. MANUT CALDEIRA II;00002
1;00HO;SUPERV. MANUT CALDEIRA III;00002
1;00HP;SUPERV. MANUT CALDEIRA IV;00002
1;00HQ;SUPERV. MANUT CALDEIRA V;00002
1;00HR;SUPERV. MANUT CALDEIRA VI;00002
1;00HS;SUPERV. MANUT CALDEIRA VII;00002
1;00HT;SUPERV. MANUTENCAO;00002
1;00HU;SUPERV. MANUTENCAO IIa;00002
1;00HV;VIGIA III;00001
1;00HW;ANALISTA DE RH IV;00002
1;00I0;ANALISTA DE RH V;00002
1;00I1;ANALISTA DE RH VI;00002
1;00I2;ANALISTA COMUNICAÇÃO;00002
1;00I3;ANALISTA COMUNICAÇÃO I;00002
1;00I4;ANALISTA COMUNICAÇÃO II;00002
1;00I5;ANALISTA COMUNICAÇÃO III;00002
1;00I6;ANALISTA COMUNICAÇÃO IV;00002
1;00I7;ANALISTA COMUNICAÇÃO V;00002
1;00I8;ANALISTA MARKETING;00002
1;00I9;COORDENADOR;00009
1;00IA;ANALISTA DE RH VII;00002
1;00IB;ANALISTA MARKETING I;00002
1;00IC;ANALISTA MARKETING II;00002
1;00ID;TECNICO IVa;00002
1;00IE;PROJETISTA Ie;00002
1;00IF;MEDICO DO TRABALHO;00002
1;00IG;GERENTE ADMINISTRATIVO;00002
1;00IH;COORDENADOR  DE RH;00009
1;00II;SOCIO GERENTE;00002
1;00IJ;CONTADOR;00002
1;00IK;DIRETOR;00002
1;00IL;SUPERVISOR I;00002
1;00IM;ENC. DE CONTABILIDADE I;00002
1;00IO;TECNICO IVB;00002
1;00IP;TECNICO PLANEJAMENTO VIIIa;00002
1;00IQ;TECNICO PLANEJAMENTO IVa;00002
1;00IR;AUXILIAR CONTABIL;00002
1;00IS;TECNICO MATERIAIS;00015
1;00IT;AUXILIAR TECNICO IIIa;00002
1;00IU;ENC. INTERNOS CALDEIRA III;00009
1;00IV;ENC. INTERNOS CALDEIRA IV;00009
1;00IW;AUXILIAR TEC. SEG. TRABALHO;00017
1;00J0;TELEFONISTA;00002
1;00J1;TELEFONISTA I;00002
1;00J2;TELEFONISTA II;00002
1;00J3;TELEFONISTA III;00002
1;00J4;OPER. EQUIPAMENTO;00010
1;00J5;ASSISTENTE SOCIAL;00002
1;00J6;ASSISTENTE SOCIAL I;00002
1;00J7;GERENTE DE PRODUCAO;00002
1;00J8;COORD.DE SERV.DE CALDEIRA;00002
1;00J9;GERENTE OPERACIONAL;00002
1;00JA;DIRETOR DE DESENVOLVIMENTO;00002
1;00JB;GERENTE DE PLANEJAMENTO;00002
1;00JC;DIRETOR DE PRODUÇÃO;00002
1;00JD;ENGENHEIRO SENIOR IV;00002
1;00JE;GERENTE DE PESSOAS;00002
1;00JF;COORDENADOR V;00009
1;00JG;COORDENADOR VI;00009
1;00JH;AUXILIAR DE ESCRITORIO II;00002
1;00JI;ENGENHEIRO SEGURANCA;00002
1;00JJ;MEDICO DO TRABALHO;00002
1;00JK;COORDENADOR IA;00009
1;00JL;ANALISTA ADMINISTRATIVO;00002
1;00JM;COORD. DE PRODUÇÃO;00009
1;00JO;ANALISTA DE CONTRATOS I;00002
1;00JP;DIRETOR COMERCIAL;00002
1;00JQ;TECNICO QUALIDADE;00014
1;00JR;TECNICO QUALIDADE I;00014
1;00JS;TECNICO QUALIDADE II;00014
1;00JT;TECNICO QUALIDADE III;00014
1;00JU;TECNICO QUALIDADE IV;00014
